,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
106,101,10.5,1,0.11657670199999999,0,163.121,3,26,1,1,0,1794.3310000000001
107,102,6.635,1,0.07048184085069421,0,121.3098,5,11,0,2,0,2530.7058
108,103,12.857645184135976,0,0.278974075,1,225.372,9,28,2,0,2,679.1160000000001
109,104,14.15,0,0.035913805,1,41.4138,3,26,1,1,0,812.2760000000001
110,105,13.3,0,0.079806266,0,232.53,7,16,2,0,0,699.09
111,106,8.89,0,0.005505481,0,102.4016,6,6,0,2,0,2732.4432
112,107,12.857645184135976,1,0.064625342,0,176.937,9,28,2,0,2,176.437
113,108,12.857645184135976,0,0.071636937,0,121.7098,4,28,0,1,3,4097.3332
114,109,9.1,1,0.07048184085069421,0,173.2054,5,11,0,2,0,3151.8972
115,110,7.5,0,0.032677677999999995,0,239.0906,0,14,0,0,0,5942.265
116,111,16.85,1,0.160760054,0,192.4478,6,6,0,2,0,4843.695
117,112,7.485,0,0.06911065,0,109.0228,8,9,2,2,0,2542.0244
118,113,11.6,0,0.041177505,1,140.3154,6,6,0,2,0,2552.6772
119,114,11.65,0,0.040081193,0,227.0694,1,4,0,1,1,1141.847
120,115,13.0,2,0.035307322,2,47.5034,6,6,0,2,0,680.4476
121,116,12.65,0,0.063017847,1,159.0578,5,11,0,2,0,2085.9514
122,117,20.25,1,0.171938781,0,92.512,2,15,0,1,2,186.424
123,118,8.6,1,0.040197932,0,190.153,8,9,2,2,0,3036.048
124,119,12.6,0,0.049058014000000004,0,62.7194,6,6,0,2,0,866.8716
125,120,17.7,0,0.01161096,0,95.041,8,9,2,2,0,868.8689999999999
126,121,14.15,0,0.183507295,1,82.4276,7,16,2,0,0,1137.1864
127,29,19.25,0,0.102349519,0,52.7956,6,6,0,2,0,928.1252
128,122,8.88,0,0.08670898699999999,1,151.7682,3,26,1,1,0,762.341
129,123,20.5,2,0.032835147,2,40.2822,5,11,0,2,0,707.0796
130,124,12.857645184135976,0,0.033809913,0,180.5976,4,28,0,1,3,7968.2944
131,125,13.5,2,0.07266912,2,160.292,7,16,2,0,0,1438.128
132,126,12.857645184135976,2,0.144338493,2,224.4404,4,28,0,1,3,6976.2524
133,106,8.89,0,0.009163216,0,101.7016,2,15,0,1,2,101.2016
134,70,7.855,0,0.011307038,0,188.5188,1,4,0,1,1,952.0939999999999
135,127,7.235,2,0.076855628,2,116.0492,7,16,2,0,0,1969.4364
136,69,12.857645184135976,0,0.059956876,0,165.4526,4,28,0,1,3,5262.4832
137,128,6.92,0,0.038532062,0,60.5852,5,11,0,2,0,1314.2892
138,129,9.3,0,0.043209581,0,90.8172,6,6,0,2,0,535.3032
139,130,18.5,2,0.056816465,2,132.1284,2,15,0,1,2,263.6568
140,131,8.02,2,0.019866705,2,154.5972,8,9,2,2,0,1402.1748
141,54,9.195,2,0.048331717,2,105.1622,6,6,0,2,0,1693.7952
142,132,12.8,2,0.091221855,2,105.5938,5,11,0,2,0,2143.876
143,133,16.6,2,0.027622076000000002,2,177.6344,0,14,0,0,0,2676.5159999999996
144,134,14.0,1,0.07048184085069421,0,53.06399999999999,8,9,2,2,0,905.488
145,135,18.6,0,0.039355947,0,246.3802,0,14,0,0,0,7370.406
146,136,16.0,0,0.060836524,0,226.8404,8,9,2,2,0,6301.1312
147,137,17.6,2,0.082316506,2,160.692,8,9,2,2,0,1597.92
148,138,21.25,0,0.155350299,0,178.237,8,9,2,2,0,529.311
149,127,7.235,2,0.076841095,2,117.5492,8,9,2,2,0,1969.4364
150,139,14.6,0,0.151419185,1,50.3692,6,6,0,2,0,1034.6532
151,23,13.85,1,0.026001976,0,161.52100000000002,1,4,0,1,1,1794.3310000000001
152,140,13.65,1,0.073209447,0,197.6426,1,4,0,1,1,2768.3964
153,141,12.857645184135976,0,0.041683481,1,31.29,4,28,0,1,3,898.83
154,142,7.365,0,0.042560252,0,226.172,7,16,2,0,0,3169.208
155,143,18.35,2,0.014081156000000001,2,223.5746,1,4,0,1,1,3589.9936
156,144,5.465,1,0.07048184085069421,0,132.5626,1,4,0,1,1,262.3252
157,145,18.6,0,0.152918384,0,99.8358,6,6,0,2,0,1910.1802
158,146,13.85,0,0.030969273999999998,1,140.9154,6,6,0,2,0,1701.7848
159,147,14.0,1,0.06037677599999999,0,154.5656,3,26,1,1,0,2471.4496
160,148,14.0,1,0.04192285,0,54.763999999999996,3,26,1,1,0,1331.6
161,149,12.857645184135976,0,0.077367431,0,97.0094,4,28,0,1,3,1808.9786
162,76,5.905,0,0.045838211,0,222.5456,1,4,0,1,1,3315.684
163,150,7.27,0,0.071077939,1,114.2518,7,16,2,0,0,2618.5914
164,151,6.155,1,0.09465987099999999,0,214.55599999999998,7,16,2,0,0,2769.728
165,152,19.5,1,0.077608838,1,233.4958,6,6,0,2,0,5375.0034
166,153,15.2,0,0.021327477,0,216.8824,6,6,0,2,0,2838.9712
167,42,12.15,1,0.042485444000000004,0,125.0046,1,4,0,1,1,1743.0644
168,21,12.857645184135976,2,0.025578526,2,198.8084,4,28,0,1,3,5555.4352
169,119,12.6,0,0.048980800000000005,0,61.9194,1,4,0,1,1,619.194
170,154,14.5,2,0.019471688,2,164.821,8,9,2,2,0,2120.573
171,155,16.6,0,0.122918852,0,173.0738,6,6,0,2,0,3823.0236
172,156,11.8,1,0.057373797000000004,0,151.4366,3,26,1,1,0,1360.2294
173,157,13.1,1,0.044155597000000005,0,178.8318,3,26,1,1,0,3969.4996
174,158,17.7,0,0.291865402,0,115.1834,2,15,0,1,2,345.5502
175,159,17.85,0,0.07048184085069421,0,196.5794,2,15,0,1,2,585.2382
176,160,12.3,1,0.064750025,0,92.6804,5,11,0,2,0,1010.6844
177,161,11.8,2,0.098312421,2,81.4618,2,15,0,1,2,161.1236
178,162,12.857645184135976,1,0.191013663,1,42.1112,9,28,2,0,2,42.6112
179,163,11.1,0,0.176573035,0,157.4604,5,11,0,2,0,3010.7476
180,147,12.857645184135976,1,0.060134441,0,153.0656,4,28,0,1,3,6024.1584
181,164,11.3,0,0.0072946519999999996,0,198.1426,5,11,0,2,0,988.7130000000001
182,165,12.857645184135976,2,0.128478462,2,117.944,9,28,2,0,2,239.688
183,166,5.75,1,0.075107656,0,112.8176,3,26,1,1,0,1374.2112
184,167,12.857645184135976,1,0.049381405999999996,0,226.8062,4,28,0,1,3,4739.8302
185,168,11.35,1,0.045165795999999994,0,100.0016,1,4,0,1,1,1012.0160000000001
186,169,12.857645184135976,1,0.09415375,0,165.7526,9,28,2,0,2,657.8104
187,170,14.0,2,0.028907832,2,130.431,0,14,0,0,0,778.9860000000001
188,171,19.75,1,0.018059621,0,179.766,5,11,0,2,0,2336.958
189,172,6.525,2,0.09043609400000001,2,85.0882,0,14,0,0,0,2233.0932
190,173,10.3,0,0.146399712,0,103.9648,0,14,0,0,0,1661.8368
191,174,5.78,1,0.07426435599999999,0,264.7568,0,14,0,0,0,4745.8224
192,175,11.85,1,0.050186725999999994,0,164.1526,5,11,0,2,0,3124.5994
193,176,16.35,0,0.020631654,0,50.1324,1,4,0,1,1,467.3916
194,177,12.857645184135976,2,0.01561108,2,182.5976,4,28,0,1,3,5070.7328
195,178,10.5,0,0.041395445,0,37.6164,7,16,2,0,0,540.6296
196,179,19.0,1,0.097313129,0,48.0718,7,16,2,0,0,992.7078
197,180,14.6,2,0.059582996,2,238.8538,0,14,0,0,0,6008.845
198,181,12.857645184135976,1,0.09866365199999999,0,62.9194,4,28,0,1,3,2105.2596
199,182,12.857645184135976,1,0.101338651,0,232.63,4,28,0,1,3,5359.69
200,183,18.75,2,0.052146455999999994,2,104.62799999999999,5,11,0,2,0,745.696
201,184,5.26,1,0.041764487,0,161.8868,8,9,2,2,0,3275.736
202,185,18.25,0,0.054344185999999996,0,140.2154,5,11,0,2,0,1701.7848
203,186,12.857645184135976,0,0.07836248400000001,0,177.937,4,28,0,1,3,6704.606
204,187,15.1,0,0.052339069,0,242.7512,7,16,2,0,0,4119.9704
205,188,15.5,1,0.042464962,0,81.5934,2,15,0,1,2,327.5736
206,189,13.65,0,0.06573288299999999,0,45.7402,0,14,0,0,0,780.9834
207,190,16.1,0,0.023625114,1,189.3846,5,11,0,2,0,3630.6074
208,191,12.857645184135976,1,0.051643608,0,107.3622,9,28,2,0,2,317.5866
209,192,12.85,0,0.165694219,0,39.7164,2,15,0,1,2,231.6984
210,141,9.5,0,0.041878397000000005,1,32.99,8,9,2,2,0,133.16
211,193,13.8,0,0.058091482,1,245.1802,8,9,2,2,0,5650.6446
212,174,5.78,1,0.07048184085069421,0,263.7568,6,6,0,2,0,2636.5679999999998
213,194,19.7,2,0.026903714,2,96.0726,5,11,0,2,0,1272.3438
214,195,14.65,2,0.07048184085069421,2,161.5552,2,15,0,1,2,324.9104
215,196,6.67,1,0.150554711,0,130.0626,2,15,0,1,2,131.1626
216,197,6.11,1,0.07048184085069421,0,131.2968,2,15,0,1,2,260.9936
217,198,13.65,1,0.13497562800000001,0,260.0936,2,15,0,1,2,260.9936
218,199,17.2,0,0.15616879,0,160.6578,3,26,1,1,0,3690.5294
219,200,6.32,0,0.07048184085069421,0,40.2822,8,9,2,2,0,1139.1838
220,201,4.88,1,0.133700752,0,52.9298,0,14,0,0,0,1995.4026
221,202,5.425,1,0.115119905,0,88.3514,6,6,0,2,0,1416.8224
222,203,15.85,1,0.11003099699999999,0,37.2506,7,16,2,0,0,265.6542
223,204,7.5,0,0.051038045,0,121.7072,6,6,0,2,0,3552.7088
224,116,12.65,0,0.062837968,1,161.5578,3,26,1,1,0,2406.867
225,205,12.857645184135976,2,0.017116983,2,211.956,9,28,2,0,2,213.05599999999998
226,87,20.75,0,0.024129332000000003,0,124.17299999999999,3,26,1,1,0,2956.152
227,206,12.857645184135976,0,0.049754975,1,152.134,9,28,2,0,2,153.134
228,207,9.0,0,0.07048184085069421,0,79.7644,8,9,2,2,0,1649.8524
229,208,12.857645184135976,0,0.101561568,0,181.9292,4,28,0,1,3,3101.2964
230,209,12.857645184135976,2,0.0059496440000000005,2,165.6526,4,28,0,1,3,4769.1254
231,210,12.857645184135976,1,0.13956116,0,170.4764,4,28,0,1,3,3435.528
232,211,14.1,0,0.126035694,0,86.4198,5,11,0,2,0,1133.8574
233,212,7.55,0,0.027164679,0,152.334,8,9,2,2,0,2603.278
234,24,13.0,2,0.099325278,2,45.406000000000006,7,16,2,0,0,605.878
235,213,12.857645184135976,0,0.04357366,1,192.8846,4,28,0,1,3,2293.0152
236,13,12.857645184135976,1,0.082741482,0,118.7782,9,28,2,0,2,119.1782
237,160,12.3,1,0.064565202,0,92.9804,3,26,1,1,0,1929.4884
238,214,12.857645184135976,0,0.08455456900000001,0,109.8912,4,28,0,1,3,2074.6328
239,161,12.857645184135976,2,0.058451805,2,79.9618,4,28,0,1,3,241.6854
240,215,17.25,2,0.113748685,2,251.3724,5,11,0,2,0,6795.1548
241,216,15.85,2,0.020603511,2,42.7112,6,6,0,2,0,639.168
242,217,18.85,2,0.052044976,2,192.1846,8,9,2,2,0,3248.4382
243,218,16.35,1,0.06276442900000001,0,227.6062,6,6,0,2,0,7222.5984
244,219,14.1,0,0.08797726199999999,1,229.0668,8,9,2,2,0,3225.1352
245,53,7.905,0,0.010010425,0,249.0408,8,9,2,2,0,3755.112
246,124,12.0,0,0.033946163,0,179.3976,3,26,1,1,0,3440.8544
247,220,12.15,1,0.058414678,0,163.4552,8,9,2,2,0,974.7312
248,221,10.1,0,0.027106459,0,75.367,0,14,0,0,0,535.969
249,222,17.5,0,0.027022882999999998,0,262.491,6,6,0,2,0,5259.82
250,223,12.857645184135976,0,0.058153409,1,152.034,9,28,2,0,2,306.268
251,224,17.1,0,0.128937661,0,112.3886,1,4,0,1,1,1779.0176
252,225,7.785,0,0.088846306,0,61.451,0,14,0,0,0,759.012
253,226,11.8,1,0.09357779,0,125.9704,3,26,1,1,0,1877.556
254,227,13.15,1,0.165694678,0,171.8764,5,11,0,2,0,3779.0808
255,228,12.857645184135976,0,0.148392623,0,41.5796,9,28,2,0,2,41.2796
256,229,8.5,0,0.098438394,0,51.1324,6,6,0,2,0,259.66200000000003
257,67,8.645,2,0.143303291,2,96.34100000000001,3,26,1,1,0,193.082
258,230,17.6,1,0.076276208,0,110.9202,5,11,0,2,0,1687.8029999999999
259,231,9.1,0,0.175103435,0,127.5362,6,6,0,2,0,4655.9394
260,232,12.8,1,0.023511371,0,225.9404,3,26,1,1,0,4950.8888
261,233,7.63,0,0.06105276,1,95.4436,8,9,2,2,0,1418.154
262,234,9.285,1,0.049559042000000005,0,246.4144,6,6,0,2,0,1225.072
263,235,13.6,1,0.119418124,0,231.03,5,11,0,2,0,5359.69
264,236,8.895,0,0.072545601,0,176.237,5,11,0,2,0,1764.37
265,237,16.35,2,0.090486828,2,195.21099999999998,3,26,1,1,0,2553.343
266,238,17.6,0,0.056245075,0,43.3454,3,26,1,1,0,1006.6896
267,239,7.975,0,0.014618973,0,85.225,3,26,1,1,0,1081.925
268,240,15.85,0,0.04347912599999999,0,36.7164,6,6,0,2,0,308.9312
269,241,15.7,0,0.045166237000000005,0,178.666,3,26,1,1,0,2516.724
270,242,8.985,1,0.057827101,0,128.83100000000002,7,16,2,0,0,1428.141
271,243,20.35,0,0.089394766,0,260.1594,3,26,1,1,0,2093.2752
272,244,6.59,0,0.10550944,0,85.6908,3,26,1,1,0,1929.4884
273,245,19.85,0,0.005234153,0,264.0884,8,9,2,2,0,5829.7448
274,246,16.85,0,0.036390174,0,91.4488,7,16,2,0,0,2082.6224
275,64,12.857645184135976,0,0.03292824,0,173.1738,4,28,0,1,3,7298.4996
276,247,16.75,0,0.081252534,0,256.4988,3,26,1,1,0,7452.9652
277,230,17.6,1,0.076552407,0,110.5202,6,6,0,2,0,450.0808
278,53,7.905,0,0.016758568999999997,0,250.4408,2,15,0,1,2,500.6816
279,248,12.857645184135976,0,0.044248175,0,126.20200000000001,4,28,0,1,3,3668.558
280,249,7.785,1,0.038288087,0,103.1964,1,4,0,1,1,736.3748
281,71,7.825,2,0.186032678,2,253.0698,8,9,2,2,0,6088.0752
282,250,12.857645184135976,2,0.031867464,2,101.0016,4,28,0,1,3,2125.2336
283,251,20.75,0,0.021370201000000002,1,153.0024,6,6,0,2,0,2277.036
284,252,12.857645184135976,0,0.193772568,0,190.3846,9,28,2,0,2,573.2538
285,253,6.26,1,0.009866049,0,151.1366,8,9,2,2,0,2267.049
286,254,18.2,0,0.082551042,0,147.3734,2,15,0,1,2,296.9468
287,24,13.0,2,0.099729888,2,46.306000000000004,1,4,0,1,1,559.2719999999999
288,255,20.25,1,0.018801549,0,222.1772,8,9,2,2,0,5559.43
289,256,8.695,2,0.11972145099999999,2,95.5094,0,14,0,0,0,1237.7222
290,150,7.27,0,0.071222087,1,113.5518,5,11,0,2,0,569.259
291,257,12.857645184135976,1,0.060371962,0,174.0712,4,28,0,1,3,3866.9664
292,258,12.85,0,0.033287541000000004,0,198.4768,5,11,0,2,0,1379.5376
293,259,7.075,0,0.05858462,0,142.7128,1,4,0,1,1,1869.5664
294,260,12.857645184135976,1,0.11679292,0,196.21099999999998,4,28,0,1,3,5499.508000000001
295,261,8.195,0,0.031452265,0,94.3462,0,14,0,0,0,925.462
296,262,7.09,0,0.00721395,0,47.9034,8,9,2,2,0,583.2408
297,263,6.095,2,0.081196619,2,141.4154,7,16,2,0,0,1418.154
298,264,19.35,1,0.049916364000000005,0,80.2644,6,6,0,2,0,942.7728
299,265,6.15,0,0.04627095,0,99.3384,7,16,2,0,0,2364.9216
300,266,12.857645184135976,1,0.02747716,0,87.9856,4,28,0,1,3,3251.7672
301,35,12.857645184135976,1,0.10470453699999999,0,125.2678,9,28,2,0,2,254.3356
302,267,17.7,2,0.012540003000000001,2,167.0474,8,9,2,2,0,5895.659000000001
303,32,17.85,0,0.147023834,0,93.7436,1,4,0,1,1,1134.5232
304,103,9.395,0,0.15965759599999998,1,224.972,5,11,0,2,0,7696.648
305,268,15.75,0,0.141398626,1,250.5382,6,6,0,2,0,2775.7202
306,269,7.475,0,0.148821808,0,241.2854,5,11,0,2,0,5317.0788
307,270,7.075,0,0.07048184085069421,0,98.0068,1,4,0,1,1,874.8612
308,271,6.445,0,0.029691762000000003,0,92.6436,7,16,2,0,0,1039.9796
309,272,19.1,0,0.09671552300000001,0,235.0958,8,9,2,2,0,3038.0454
310,273,20.25,1,0.014790558999999998,0,193.6162,8,9,2,2,0,3848.324
311,274,15.0,1,0.054378253,0,59.1904,7,16,2,0,0,527.3136
312,275,6.67,1,0.123428594,0,89.1514,7,16,2,0,0,2390.8878
313,276,12.857645184135976,1,0.029943462999999997,0,60.222,4,28,0,1,3,1677.816
314,277,16.7,1,0.052368060999999994,0,112.7176,3,26,1,1,0,801.6232
315,278,7.07,0,0.09386114400000001,0,115.5834,5,11,0,2,0,1267.0174
316,279,6.48,0,0.033968647000000005,0,148.0076,5,11,0,2,0,886.8456
317,280,19.0,1,0.173154079,0,228.27200000000002,2,15,0,1,2,452.744
318,281,13.35,0,0.139735226,0,147.5392,5,11,0,2,0,3877.6192
319,282,12.857645184135976,0,0.043351895999999994,0,146.6418,4,28,0,1,3,4414.254
320,283,12.857645184135976,0,0.042086652,1,122.4388,4,28,0,1,3,5448.9072
321,284,9.695,1,0.12848269,0,223.9404,0,14,0,0,0,4950.8888
322,285,15.0,0,0.049357077,1,62.6168,6,6,0,2,0,958.752
323,286,11.15,1,0.008326735,0,149.9708,6,6,0,2,0,1956.1204
324,287,20.85,0,0.021362955,0,103.2306,0,14,0,0,0,2404.2038
325,288,9.8,2,0.151420934,2,194.3478,2,15,0,1,2,387.4956
326,289,16.35,0,0.032511818,0,165.0842,3,26,1,1,0,994.7052
327,290,9.6,1,0.022323658,0,101.29899999999999,5,11,0,2,0,1754.3829999999998
328,291,12.857645184135976,2,0.019292355,2,129.9994,4,28,0,1,3,3340.9844
329,292,13.35,0,0.048124442999999996,0,216.7166,5,11,0,2,0,3918.8988
330,293,20.7,0,0.09261307,1,76.367,3,26,1,1,0,306.268
331,294,12.857645184135976,0,0.094697274,0,158.4604,4,28,0,1,3,4278.4308
332,295,16.2,0,0.035984103999999996,0,260.6278,5,11,0,2,0,4425.5726
333,296,12.857645184135976,1,0.056596985,0,230.9984,4,28,0,1,3,9267.936
334,297,12.857645184135976,0,0.2047,0,76.867,9,28,2,0,2,229.701
335,298,12.857645184135976,1,0.020618324,0,129.3994,4,28,0,1,3,2055.9904
336,299,5.5,2,0.04709821,2,101.3016,7,16,2,0,0,3339.6528
337,300,15.1,1,0.087584126,0,221.7456,5,11,0,2,0,6410.3224
338,301,15.7,1,0.038078899,0,122.9046,6,6,0,2,0,1992.0736
339,302,7.895,1,0.095102092,0,104.4332,6,6,0,2,0,2870.9296
340,303,12.857645184135976,1,0.011953901999999999,0,164.5184,4,28,0,1,3,2807.0128
